Year,Category,Statistic,Player,Team,Value
2017,Individual Pitching Stats,Complete Games,Carlos Martinez,St. Louis Cardinals,2
2017,Individual Pitching Stats,Ivan Nova,Pittsburgh Pirates,2,
2017,Individual Pitching Stats,Clayton Richard,San Diego Padres,2,
2017,Individual Pitching Stats,Max Scherzer,Washington Nationals,2,
2017,Individual Pitching Stats,ERA,Clayton Kershaw,Los Angeles Dodgers,2.21
2017,Individual Pitching Stats,Games,Corey Knebel,Milwaukee Brewers,76
2017,Individual Pitching Stats,Saves,Greg Holland,Colorado Rockies,41
2017,Individual Pitching Stats,Kenley Jansen,Los Angeles Dodgers,41,
2017,Individual Pitching Stats,Shutouts,Carlos Martinez,St. Louis Cardinals,2
2017,Individual Pitching Stats,Strikeouts,Max Scherzer,Washington Nationals,268
2017,Individual Pitching Stats,Winning Percentage,Clayton Kershaw,Los Angeles Dodgers,.818
2017,Individual Pitching Stats,Wins,Clayton Kershaw,Los Angeles Dodgers,18
