Year,Category,Statistic,Player,Team,Value
1934,Individual Pitching Stats,Complete Games,Carl Hubbell,New York,25
1934,Individual Pitching Stats,ERA,Carl Hubbell,New York,2.30
1934,Individual Pitching Stats,Games,Curt Davis,Philadelphia,51
1934,Individual Pitching Stats,Saves,Carl Hubbell,New York,7
1934,Individual Pitching Stats,Shutouts,Dizzy Dean,St. Louis,7
1934,Individual Pitching Stats,Strikeouts,Dizzy Dean,St. Louis,195
1934,Individual Pitching Stats,Winning Percentage,Dizzy Dean,St. Louis,.811
1934,Individual Pitching Stats,Wins,Dizzy Dean,St. Louis,30
