Year,Category,Statistic,Team,Value
1914,Team Pitching Stats,Complete Games,Boston,104
1914,Team Pitching Stats,ERA,St. Louis,2.38
1914,Team Pitching Stats,Fewest Hits Allowed,Chicago,"1,169"
1914,Team Pitching Stats,Fewest Home Runs Allowed,Philadelphia,26
1914,Team Pitching Stats,Fewest Walks Allowed,New York,367
1914,Team Pitching Stats,Saves,Cincinnati,15
1914,Team Pitching Stats,Shutouts,New York,20
1914,Team Pitching Stats,Strikeouts,Chicago,651
