Year,Category,Statistic,Player,Team,Value
2002,Individual Pitching Stats,Complete Games,Randy Johnson,Arizona,8
2002,Individual Pitching Stats,ERA,Randy Johnson,Arizona,2.32
2002,Individual Pitching Stats,Games,Paul Quantrill,Los Angeles,86
2002,Individual Pitching Stats,Saves,John Smoltz,Atlanta,55
2002,Individual Pitching Stats,Shutouts,A.J. Burnett,Florida,5
2002,Individual Pitching Stats,Strikeouts,Randy Johnson,Arizona,334
2002,Individual Pitching Stats,Winning Percentage,Randy Johnson,Arizona,.828
2002,Individual Pitching Stats,Wins,Randy Johnson,Arizona,24
