Year,Category,Statistic,Player,Team,Value
1932,Individual Pitching Stats,Complete Games,Lefty Grove,Philadelphia,27
1932,Individual Pitching Stats,ERA,Lefty Grove,Philadelphia,2.84
1932,Individual Pitching Stats,Games,Firpo Marberry,Washington,54
1932,Individual Pitching Stats,Saves,Firpo Marberry,Washington,13
1932,Individual Pitching Stats,Shutouts,Tommy Bridges,Detroit,4
1932,Individual Pitching Stats,Strikeouts,Red Ruffing,New York,190
1932,Individual Pitching Stats,Winning Percentage,Johnny Allen,New York,.810
1932,Individual Pitching Stats,Wins,Alvin Crowder,Washington,26
