Year,Category,Statistic,Player,Team,Value
2023,Individual Pitching Stats,Complete Games,Jordan Lyles,Kansas City Royals,3
2023,Individual Pitching Stats,ERA,Gerrit Cole,New York Yankees,2.63
2023,Individual Pitching Stats,Games,Matt Brash,Seattle Mariners,78
2023,Individual Pitching Stats,Saves,Emmanuel Clase,Cleveland Guardians,44
2023,Individual Pitching Stats,Shutouts,Gerrit Cole,New York Yankees,2
2023,Individual Pitching Stats,Framber Valdez,Houston Astros,2,
2023,Individual Pitching Stats,Strikeouts,Kevin Gausman,Toronto Blue Jays,237
2023,Individual Pitching Stats,Winning Percentage,Gerrit Cole,New York Yankees,.789
2023,Individual Pitching Stats,Wins,Chris Bassitt,Toronto Blue Jays,16
2023,Individual Pitching Stats,Zach Eflin,Tampa Bay Rays,16,
