Year,Category,Statistic,Player,Team,Value
2018,Individual Pitching Stats,Complete Games,Jose Berrios,Minnesota Twins,2
2018,Individual Pitching Stats,Carlos Carrasco,Cleveland Indians,2,
2018,Individual Pitching Stats,Corey Kluber,Cleveland Indians,2,
2018,Individual Pitching Stats,James Paxton,Seattle Mariners,2,
2018,Individual Pitching Stats,ERA,Blake Snell,Tampa Bay Rays,1.89
2018,Individual Pitching Stats,Games,Ryan Pressly,Minnesota Twins,77
2018,Individual Pitching Stats,Saves,Edwin Diaz,Seattle Mariners,57
2018,Individual Pitching Stats,Shutouts,Jose Berrios,Minnesota Twins,1
2018,Individual Pitching Stats,Mike Clevinger,Cleveland Indians,1,
2018,Individual Pitching Stats,Gerrit Cole,Houston Astros,1,
2018,Individual Pitching Stats,Andrew Heaney,Los Angeles Angels,1,
2018,Individual Pitching Stats,Corey Kluber,Cleveland Indians,1,
2018,Individual Pitching Stats,Sean Manaea,Oakland Athletics,1,
2018,Individual Pitching Stats,Daniel Mengden,Oakland Athletics,1,
2018,Individual Pitching Stats,James Paxton,Seattle Mariners,1,
2018,Individual Pitching Stats,Luis Severino,New York Yankees,1,
2018,Individual Pitching Stats,Masahiro Tanaka,New York Yankees,1,
2018,Individual Pitching Stats,Justin Verlander,Houston Astros,1,
2018,Individual Pitching Stats,Strikeouts,Justin Verlander,Houston Astros,290
2018,Individual Pitching Stats,Winning Percentage,Charlie Morton,Houston Astros,.833
2018,Individual Pitching Stats,Wins,Blake Snell,Tampa Bay Rays,21
