Year,Category,Statistic,Player,Team,Value
2015,Individual Pitching Stats,Complete Games,Mark Buehrle,Toronto,4
2015,Individual Pitching Stats,ERA,David Price,Detroit / Toronto,2.45
2015,Individual Pitching Stats,Games,Kevin Jepsen,Tampa Bay / Minnesota,75
2015,Individual Pitching Stats,Saves,Brad Boxberger,Tampa Bay,41
2015,Individual Pitching Stats,Shutouts,Sonny Gray,Oakland,2
2015,Individual Pitching Stats,Strikeouts,Chris Sale,Chicago,274
2015,Individual Pitching Stats,Winning Percentage,David Price,Detroit / Toronto,.783
2015,Individual Pitching Stats,Wins,Dallas Keuchel,Houston,20
