Year,Category,Statistic,Player,Team,Value
1991,Individual Pitching Stats,Complete Games,Jack McDowell,Chicago,15
1991,Individual Pitching Stats,ERA,Roger Clemens,Boston,2.62
1991,Individual Pitching Stats,Games,Duane Ward,Toronto,81
1991,Individual Pitching Stats,Saves,Bryan Harvey,California,46
1991,Individual Pitching Stats,Shutouts,Roger Clemens,Boston,4
1991,Individual Pitching Stats,Strikeouts,Roger Clemens,Boston,241
1991,Individual Pitching Stats,Winning Percentage,Scott Erickson,Minnesota,.714
1991,Individual Pitching Stats,Wins,Scott Erickson,Minnesota,20
