Year,Category,Statistic,Player,Team,Value
1885,Individual Pitching Stats,Complete Games,John Clarkson,Chicago,68
1885,Individual Pitching Stats,ERA,Tim Keefe,New York,1.58
1885,Individual Pitching Stats,Games,John Clarkson,Chicago,70
1885,Individual Pitching Stats,Saves,Fred Pfeffer,Chicago,2
1885,Individual Pitching Stats,Shutouts,John Clarkson,Chicago,10
1885,Individual Pitching Stats,Strikeouts,John Clarkson,Chicago,308
1885,Individual Pitching Stats,Winning Percentage,Mickey Welch,New York,.800
1885,Individual Pitching Stats,Wins,John Clarkson,Chicago,53
