Year,Category,Statistic,Player,Team,Value
1880,Individual Pitching Stats,Complete Games,Jim McCormick,Cleveland,72
1880,Individual Pitching Stats,ERA,Tim Keefe,Troy,0.86
1880,Individual Pitching Stats,Games,Jim McCormick,Cleveland,74
1880,Individual Pitching Stats,Saves,Lee Richmond,Worcester,3
1880,Individual Pitching Stats,Shutouts,John Ward,Providence,8
1880,Individual Pitching Stats,Strikeouts,Larry Corcoran,Chicago,268
1880,Individual Pitching Stats,Winning Percentage,Fred Goldsmith,Chicago,.875
1880,Individual Pitching Stats,Wins,Jim McCormick,Cleveland,45
