Year,Category,Statistic,Player,Team,Value
1888,Individual Pitching Stats,Complete Games,Ed Morris,Pittsburgh,54
1888,Individual Pitching Stats,ERA,Tim Keefe,New York,1.74
1888,Individual Pitching Stats,Games,Ed Morris,Pittsburgh,55
1888,Individual Pitching Stats,Saves,George Wood,Philadelphia,2
1888,Individual Pitching Stats,Shutouts,Tim Keefe,New York,8
1888,Individual Pitching Stats,Strikeouts,Tim Keefe,New York,335
1888,Individual Pitching Stats,Winning Percentage,Tim Keefe,New York,.745
1888,Individual Pitching Stats,Wins,Tim Keefe,New York,35
