Year,Category,Statistic,Player,Team,Value
2024,Individual Pitching Stats,Complete Games,Kevin Gausman,Toronto,2
2024,Individual Pitching Stats,ERA,Tarik Skubal,Detroit,2.39
2024,Individual Pitching Stats,Games,T.J. McFarland,Oakland,79
2024,Individual Pitching Stats,Saves,Emmanuel Clase,Cleveland,47
2024,Individual Pitching Stats,Shutouts,Ronel Blanco,Houston,1
2024,Individual Pitching Stats,Joey Estes,Oakland,1,
2024,Individual Pitching Stats,Kevin Gausman,Toronto,1,
2024,Individual Pitching Stats,Tanner Houck,Boston,1,
2024,Individual Pitching Stats,Keider Montero,Detroit,1,
2024,Individual Pitching Stats,Strikeouts,Tarik Skubal,Detroit,228
2024,Individual Pitching Stats,Winning Percentage,Tarik Skubal,Detroit,.818
2024,Individual Pitching Stats,Wins,Tarik Skubal,Detroit,18
