Year,Category,Statistic,Player,Team,Value
1953,Individual Pitching Stats,Complete Games,Bob Porterfield,Washington,24
1953,Individual Pitching Stats,ERA,Ed Lopat,New York,2.42
1953,Individual Pitching Stats,Games,Ellis Kinder,Boston,69
1953,Individual Pitching Stats,Saves,Ellis Kinder,Boston,27
1953,Individual Pitching Stats,Shutouts,Bob Porterfield,Washington,9
1953,Individual Pitching Stats,Strikeouts,Billy Pierce,New York,186
1953,Individual Pitching Stats,Winning Percentage,Ed Lopat,New York,.800
1953,Individual Pitching Stats,Wins,Bob Porterfield,Washington,22
