Year,Category,Statistic,Team,Value
1893,Team Pitching Stats,Complete Games,Boston,114
1893,Team Pitching Stats,ERA,St. Louis,4.06
1893,Team Pitching Stats,Fewest Hits Allowed,Pittsburgh,"1,232"
1893,Team Pitching Stats,Fewest Home Runs Allowed,Chicago,26
1893,Team Pitching Stats,Fewest Walks Allowed,Cleveland,356
1893,Team Pitching Stats,Saves,Chicago,5
1893,Team Pitching Stats,Shutouts,Pittsburgh,8
1893,Team Pitching Stats,Strikeouts,New York,395
