Year,Category,Statistic,Player,Team,Value
1966,Individual Pitching Stats,Complete Games,Jim Kaat,Minnesota,19
1966,Individual Pitching Stats,ERA,Gary Peters,Chicago,1.98
1966,Individual Pitching Stats,Games,Eddie Fisher,Baltimore,67
1966,Individual Pitching Stats,Saves,Jack Aker,Kansas City,32
1966,Individual Pitching Stats,Shutouts,Tommy John,Chicago,5
1966,Individual Pitching Stats,Strikeouts,Sam McDowell,Cleveland,225
1966,Individual Pitching Stats,Winning Percentage,Sonny Siebert,Cleveland,.667
1966,Individual Pitching Stats,Wins,Jim Kaat,Minnesota,25
