Year,Category,Statistic,Player,Team,Value
1894,Individual Pitching Stats,Complete Games,Ted Breitenstein,St. Louis,46
1894,Individual Pitching Stats,ERA,Amos Rusie,New York,2.78
1894,Individual Pitching Stats,Games,Ted Breitenstein,St. Louis,56
1894,Individual Pitching Stats,Saves,Tony Mullane,Baltimore,4
1894,Individual Pitching Stats,Shutouts,Nig Cuppy,Cleveland,3
1894,Individual Pitching Stats,Strikeouts,Amos Rusie,New York,195
1894,Individual Pitching Stats,Winning Percentage,Jouett Meekin,New York,.786
1894,Individual Pitching Stats,Wins,Amos Rusie,New York,36
