Year,Category,Statistic,Team,Value
1885,Team Pitching Stats,Complete Games,Boston,111
1885,Team Pitching Stats,ERA,New York,1.72
1885,Team Pitching Stats,Fewest Hits Allowed,New York,758
1885,Team Pitching Stats,Fewest Home Runs Allowed,New York,11
1885,Team Pitching Stats,Fewest Walks Allowed,Boston,188
1885,Team Pitching Stats,Saves,Chicago,4
1885,Team Pitching Stats,Shutouts,New York,16
1885,Team Pitching Stats,Strikeouts,New York,516
