Year,Category,Statistic,Player,Team,Value
1958,Individual Pitching Stats,Complete Games,Warren Spahn,Milwaukee,23
1958,Individual Pitching Stats,ERA,Stu Miller,San Francisco,2.47
1958,Individual Pitching Stats,Games,Don Elston,Chicago,69
1958,Individual Pitching Stats,Saves,Roy Face,Pittsburgh,20
1958,Individual Pitching Stats,Shutouts,Carl Willey,Milwaukee,4
1958,Individual Pitching Stats,Strikeouts,Sam Jones,St. Louis,225
1958,Individual Pitching Stats,Winning Percentage,Lew Burdette,Milwaukee,.667
1958,Individual Pitching Stats,Wins,Bob Friend,Pittsburgh,22
