Year,Category,Statistic,Player,Team,Value
1886,Individual Pitching Stats,Complete Games,Tim Keefe,New York,62
1886,Individual Pitching Stats,ERA,Henry Boyle,St. Louis,1.76
1886,Individual Pitching Stats,Games,Tim Keefe,New York,64
1886,Individual Pitching Stats,Saves,Charlie Ferguson,Philadelphia,2
1886,Individual Pitching Stats,Shutouts,Lady Baldwin,Detroit,7
1886,Individual Pitching Stats,Strikeouts,Lady Baldwin,Detroit,323
1886,Individual Pitching Stats,Winning Percentage,Jocko Flynn,Chicago,.793
1886,Individual Pitching Stats,Wins,Lady Baldwin,Detroit,42
