Year,Category,Statistic,Player,Team,Value
1954,Individual Pitching Stats,Complete Games,Bob Lemon,Cleveland,21
1954,Individual Pitching Stats,ERA,Mike Garcia,Cleveland,2.64
1954,Individual Pitching Stats,Games,Sonny Dixon,Washington,54
1954,Individual Pitching Stats,Saves,Johnny Sain,New York,22
1954,Individual Pitching Stats,Shutouts,Mike Garcia,Cleveland,5
1954,Individual Pitching Stats,Strikeouts,Bob Turley,Baltimore,185
1954,Individual Pitching Stats,Winning Percentage,Sandy Consuegra,Chicago,.842
1954,Individual Pitching Stats,Wins,Bob Lemon,Cleveland,23
