Year,Category,Statistic,Team,Value
1890,Team Pitching Stats,Complete Games,Boston,132
1890,Team Pitching Stats,ERA,Cincinnati,2.79
1890,Team Pitching Stats,Fewest Hits Allowed,New York,"1,029"
1890,Team Pitching Stats,Fewest Home Runs Allowed,New York,14
1890,Team Pitching Stats,Fewest Walks Allowed,Boston,354
1890,Team Pitching Stats,Saves,Chicago,3
1890,Team Pitching Stats,Shutouts,Boston,13
1890,Team Pitching Stats,Strikeouts,New York,612
