Year,Category,Statistic,Team,Value
1902,Team Pitching Stats,Complete Games,Chicago,132
1902,Team Pitching Stats,ERA,Chicago,2.21
1902,Team Pitching Stats,Fewest Hits Allowed,Brooklyn,"1,113"
1902,Team Pitching Stats,Fewest Home Runs Allowed,Pittsburgh,4
1902,Team Pitching Stats,Fewest Walks Allowed,Pittsburgh,250
1902,Team Pitching Stats,Saves,Boston,4
1902,Team Pitching Stats,Shutouts,Pittsburgh,21
1902,Team Pitching Stats,Strikeouts,Pittsburgh,564
