Year,Category,Statistic,Player,Team,Value
2005,Individual Pitching Stats,Complete Games,Chris Carpenter,St. Louis,7
2005,Individual Pitching Stats,ERA,Roger Clemens,Houston,1.87
2005,Individual Pitching Stats,Games,Scott Eyre,San Francisco,86
2005,Individual Pitching Stats,Saves,Chad Cordero,Washington,47
2005,Individual Pitching Stats,Shutouts,Dontrelle Willis,Florida,5
2005,Individual Pitching Stats,Strikeouts,Jake Peavy,San Diego,216
2005,Individual Pitching Stats,Winning Percentage,Chris Carpenter,St. Louis,.808
2005,Individual Pitching Stats,Wins,Dontrelle Willis,Florida,22
