Year,Category,Statistic,Team,Value
1954,Team Pitching Stats,Complete Games,Cleveland,77
1954,Team Pitching Stats,ERA,Cleveland,2.79
1954,Team Pitching Stats,Fewest Hits Allowed,Cleveland,"1,220"
1954,Team Pitching Stats,Fewest Home Runs Allowed,Baltimore,78
1954,Team Pitching Stats,Fewest Walks Allowed,Cleveland,486
1954,Team Pitching Stats,Saves,New York,37
1954,Team Pitching Stats,Shutouts,Chicago,23
1954,Team Pitching Stats,Strikeouts,Boston,707
