Year,Category,Statistic,Player,Team,Value
2022,Individual Pitching Stats,Complete Games,Sandy Alcantara,Miami Marlins,6
2022,Individual Pitching Stats,ERA,Julio Urías,Los Angeles Dodgers,2.16
2022,Individual Pitching Stats,Games,John Brebbia,San Francisco Giants,76
2022,Individual Pitching Stats,Saves,Kenley Jansen,Atlanta Braves,41
2022,Individual Pitching Stats,Shutouts,Sandy Alcantara,Miami Marlins,1
2022,Individual Pitching Stats,Walker Buehler,Los Angeles Dodgers,1,
2022,Individual Pitching Stats,Bryce Elder,Atlanta Braves,1,
2022,Individual Pitching Stats,Hunter Greene,Cincinnati Reds,1,
2022,Individual Pitching Stats,Chad Kuhl,Colorado Rockies,1,
2022,Individual Pitching Stats,Jordan Montgomery,St. Louis Cardinals,1,
2022,Individual Pitching Stats,Aaron Nola,Philadelphia Phillies,1,
2022,Individual Pitching Stats,Strikeouts,Corbin Burnes,Milwaukee Brewers,243
2022,Individual Pitching Stats,Winning Percentage,Kyle Wright,Atlanta Braves,.808
2022,Individual Pitching Stats,Wins,Kyle Wright,Atlanta Braves,21
