Year,Category,Statistic,Player,Team,Value
1972,Individual Pitching Stats,Complete Games,Steve Carlton,Philadelphia,30
1972,Individual Pitching Stats,ERA,Steve Carlton,Philadelphia,1.97
1972,Individual Pitching Stats,Games,Clay Carroll,Cincinnati,65
1972,Individual Pitching Stats,Saves,Clay Carroll,Cincinnati,37
1972,Individual Pitching Stats,Shutouts,Don Sutton,Los Angeles,9
1972,Individual Pitching Stats,Strikeouts,Steve Carlton,Philadelphia,310
1972,Individual Pitching Stats,Winning Percentage,Gary Nolan,Cincinnati,.750
1972,Individual Pitching Stats,Wins,Steve Carlton,Philadelphia,27
