Year,Category,Statistic,Team,Value
2002,Team Pitching Stats,TEAM,W,L
2002,Team Pitching Stats,Arizona,98,64
2002,Team Pitching Stats,Atlanta,101,59
2002,Team Pitching Stats,Chicago,67,95
2002,Team Pitching Stats,Cincinnati,78,84
2002,Team Pitching Stats,Colorado,73,89
2002,Team Pitching Stats,Florida,79,83
2002,Team Pitching Stats,Houston,84,78
2002,Team Pitching Stats,Los Angeles,92,70
2002,Team Pitching Stats,Milwaukee,56,106
2002,Team Pitching Stats,Montreal,83,79
2002,Team Pitching Stats,New York,75,86
2002,Team Pitching Stats,Philadelphia,80,81
2002,Team Pitching Stats,Pittsburgh,72,89
2002,Team Pitching Stats,San Diego,66,96
2002,Team Pitching Stats,San Francisco,95,66
2002,Team Pitching Stats,St. Louis,97,65
2002,Team Pitching Stats,TEAM,W,L
