Year,Category,Statistic,Player,Team,Value
2011,Individual Pitching Stats,Complete Games,James Shields,Tampa Bay,11
2011,Individual Pitching Stats,ERA,Justin Verlander,Detroit,2.40
2011,Individual Pitching Stats,Games,Jose Valverde,Detroit,75
2011,Individual Pitching Stats,Saves,Jose Valverde,Detroit,49
2011,Individual Pitching Stats,Shutouts,Derek Holland,Texas,4
2011,Individual Pitching Stats,Strikeouts,Justin Verlander,Detroit,250
2011,Individual Pitching Stats,Winning Percentage,Justin Verlander,Detroit,.828
2011,Individual Pitching Stats,Wins,Justin Verlander,Detroit,24
