Year,Category,Statistic,Team,Value
1948,Team Pitching Stats,Complete Games,Philadelphia,74
1948,Team Pitching Stats,ERA,Cleveland,3.23
1948,Team Pitching Stats,Fewest Hits Allowed,Cleveland,"1,246"
1948,Team Pitching Stats,Fewest Home Runs Allowed,Washington,81
1948,Team Pitching Stats,Fewest Walks Allowed,Detroit,589
1948,Team Pitching Stats,Saves,Cleveland,30
1948,Team Pitching Stats,Shutouts,Cleveland,26
1948,Team Pitching Stats,Strikeouts,Detroit,678
