Year,Category,Statistic,Team,Value
1949,Team Pitching Stats,Complete Games,Boston,68
1949,Team Pitching Stats,ERA,St. Louis,3.44
1949,Team Pitching Stats,Fewest Hits Allowed,Brooklyn,"1,306"
1949,Team Pitching Stats,Fewest Home Runs Allowed,St. Louis,87
1949,Team Pitching Stats,Fewest Walks Allowed,Philadelphia,502
1949,Team Pitching Stats,Saves,St. Louis,19
1949,Team Pitching Stats,Shutouts,Brooklyn,15
1949,Team Pitching Stats,Strikeouts,Brooklyn,743
