Year,Category,Statistic,Player,Team,Value
2020,Individual Pitching Stats,Complete Games,Gerrit Cole,New York Yankees,2
2020,Individual Pitching Stats,ERA,Shane Bieber,Cleveland Indians,1.63
2020,Individual Pitching Stats,Games,Scott Barlow,Kansas City Royals,32
2020,Individual Pitching Stats,Saves,Brad Hand,Cleveland Indians,16
2020,Individual Pitching Stats,Shutouts,Gerrit Cole,New York Yankees,1
2020,Individual Pitching Stats,Kyle Gibson,Texas Rangers,1,
2020,Individual Pitching Stats,Lucas Giolito,Chicago White Sox,1,
2020,Individual Pitching Stats,Brad Keller,Kansas City Royals,1,
2020,Individual Pitching Stats,Mike Minor,Oakland Athletics,1,
2020,Individual Pitching Stats,Strikeouts,Shane Bieber,Cleveland Indians,122
2020,Individual Pitching Stats,Winning Percentage,Shane Bieber,Cleveland Indians,.889
2020,Individual Pitching Stats,Wins,Shane Bieber,Cleveland Indians,8
