Year,Category,Statistic,Team,Value
1910,Team Pitching Stats,Complete Games,Brooklyn,103
1910,Team Pitching Stats,ERA,Chicago,2.51
1910,Team Pitching Stats,Fewest Hits Allowed,Chicago,"1,171"
1910,Team Pitching Stats,Fewest Home Runs Allowed,Brooklyn,17
1910,Team Pitching Stats,Fewest Walks Allowed,Pittsburgh,392
1910,Team Pitching Stats,Saves,St. Louis,14
1910,Team Pitching Stats,Shutouts,Chicago,25
1910,Team Pitching Stats,Strikeouts,New York,717
