Year,Category,Statistic,Player,Team,Value
1956,Individual Pitching Stats,Complete Games,Robin Roberts,Philadelphia,22
1956,Individual Pitching Stats,ERA,Lew Burdette,Milwaukee,2.70
1956,Individual Pitching Stats,Games,Roy Face,Pittsburgh,68
1956,Individual Pitching Stats,Saves,Clem Labine,Brooklyn,19
1956,Individual Pitching Stats,Shutouts,Lew Burdette,Milwaukee,6
1956,Individual Pitching Stats,Strikeouts,Sam Jones,Chicago,176
1956,Individual Pitching Stats,Winning Percentage,Don Newcombe,Brooklyn,.794
1956,Individual Pitching Stats,Wins,Don Newcombe,Brooklyn,27
