year,league,category,text
1893,National League,table_5,Complete Games | Boston | 114
1893,National League,table_5,ERA | St. Louis | 4.06
1893,National League,table_5,"Fewest Hits Allowed | Pittsburgh | 1,232"
1893,National League,table_5,Fewest Home Runs Allowed | Chicago | 26
1893,National League,table_5,Fewest Walks Allowed | Cleveland | 356
1893,National League,table_5,Saves | Chicago | 5
1893,National League,table_5,Shutouts | Pittsburgh | 8
1893,National League,table_5,Strikeouts | New York | 395
