year,league,category,text
1974,American League,table_2,Complete Games | Fergie Jenkins | Texas | 29
1974,American League,table_2,ERA | Catfish Hunter | Oakland | 2.49
1974,American League,table_2,Games | Rollie Fingers | Oakland | 76
1974,American League,table_2,Saves | Terry Forster | Chicago | 24
1974,American League,table_2,Shutouts | Luis Tiant | Boston | 7
1974,American League,table_2,Strikeouts | Nolan Ryan | California | 367
1974,American League,table_2,Winning Percentage | Mike Cuellar | Baltimore | .688
1974,American League,table_2,Wins | Catfish Hunter | Oakland | 25
1974,American League,table_5,Complete Games | Boston | 71
1974,American League,table_5,ERA | Oakland | 2.96
1974,American League,table_5,"Fewest Hits Allowed | Oakland | 1,322"
1974,American League,table_5,Fewest Home Runs Allowed | Oakland | 90
1974,American League,table_5,Fewest Walks Allowed | Oakland | 430
1974,American League,table_5,Saves | Chicago | 29
1974,American League,table_5,Shutouts | Baltimore | 16
1974,American League,table_5,Strikeouts | California | 986
