year,league,category,text
1998,National League,table_2,Complete Games | Curt Schilling | Philadelphia | 15
1998,National League,table_2,ERA | Greg Maddux | Atlanta | 2.22
1998,National League,table_2,Games | Rod Beck | Chicago | 81
1998,National League,table_2,Saves | Trevor Hoffman | San Diego | 53
1998,National League,table_2,Shutouts | Greg Maddux | Atlanta | 5
1998,National League,table_2,Strikeouts | Curt Schilling | Philadelphia | 300
1998,National League,table_2,Winning Percentage | John Smoltz | Atlanta | .850
1998,National League,table_2,Wins | Tom Glavine | Atlanta | 20
1998,National League,table_5,Complete Games | Atlanta | 24
1998,National League,table_5,ERA | Atlanta | 3.25
1998,National League,table_5,"Fewest Hits Allowed | Atlanta | 1,291"
1998,National League,table_5,Fewest Home Runs Allowed | Atlanta | 117
1998,National League,table_5,Fewest Walks Allowed | Houston | 465
1998,National League,table_5,Saves | San Diego | 59
1998,National League,table_5,Shutouts | Atlanta | 23
1998,National League,table_5,"Strikeouts | Atlanta | 1,232"
