year,league,category,text
1984,National League,table_2,Complete Games | Mario Soto | Cincinnati | 13
1984,National League,table_2,ERA | Alejandro Pena | Los Angeles | 2.48
1984,National League,table_2,Games | Ted Power | Cincinnati | 78
1984,National League,table_2,Saves | Bruce Sutter | St. Louis | 45
1984,National League,table_2,Shutouts | Joaquin Andujar | St. Louis | 4
1984,National League,table_2,Strikeouts | Dwight Gooden | New York | 276
1984,National League,table_2,Winning Percentage | Rick Sutcliffe | Chicago | .941
1984,National League,table_2,Wins | Joaquin Andujar | St. Louis | 20
1984,National League,table_5,Complete Games | Los Angeles | 39
1984,National League,table_5,ERA | Pittsburgh | 3.11
1984,National League,table_5,"Fewest Hits Allowed | San Diego | 1,327"
1984,National League,table_5,Fewest Home Runs Allowed | Los Angeles | 76
1984,National League,table_5,Fewest Walks Allowed | Chicago | 442
1984,National League,table_5,Saves | St. Louis | 51
1984,National League,table_5,Shutouts | San Diego | 17
1984,National League,table_5,"Strikeouts | Los Angeles | 1,033"
