category,text
table_2,Statistic | Name | Team | # | Top 25
table_2,Complete Games | Roy Halladay | Toronto | 5 | Top 25
table_2,ERA | Kevin Millwood | Cleveland | 2.86 | Top 25
table_2,Games | Mike Timlin | Boston | 81 | Top 25
table_2,Saves | Francisco Rodriguez | Los Angeles | 45 | Top 25
table_2,Bob Wickman | Cleveland | 45
table_2,Shutouts | Jon Garland | Chicago | 3 | Top 25
table_2,Strikeouts | Johan Santana | Minnesota | 238 | Top 25
table_2,Winning Percentage | Cliff Lee | Cleveland | .783 | Top 25
table_2,Wins | Bartolo Colon | Los Angeles | 21 | Top 25
table_2,Statistic | Name | Team | # | Top 25
