year,league,category,text
1920,National League,table_2,Complete Games | Grover Alexander | Chicago | 33
1920,National League,table_2,ERA | Grover Alexander | Chicago | 1.91
1920,National League,table_2,Games | Jesse Haines | St. Louis | 47
1920,National League,table_2,Saves | Bill Sherdel | St. Louis | 6
1920,National League,table_2,Shutouts | Babe Adams | Pittsburgh | 8
1920,National League,table_2,Strikeouts | Grover Alexander | Chicago | 173
1920,National League,table_2,Winning Percentage | Burleigh Grimes | Brooklyn | .676
1920,National League,table_2,Wins | Grover Alexander | Chicago | 27
1920,National League,table_5,Complete Games | Chicago | 95
1920,National League,table_5,ERA | Brooklyn | 2.62
1920,National League,table_5,"Fewest Hits Allowed | Cincinnati | 1,327"
1920,National League,table_5,Fewest Home Runs Allowed | Brooklyn | 25
1920,National League,table_5,Fewest Walks Allowed | Pittsburgh | 280
1920,National League,table_5,Saves | St. Louis | 12
1920,National League,table_5,Shutouts | New York | 18
1920,National League,table_5,Strikeouts | Brooklyn | 553
