year,league,category,text
1928,National League,table_2,Complete Games | Larry Benton | New York | 28
1928,National League,table_2,ERA | Dazzy Vance | Brooklyn | 2.09
1928,National League,table_2,Games | Burleigh Grimes | Pittsburgh | 48
1928,National League,table_2,Saves | Hal Haid | St. Louis | 5
1928,National League,table_2,Shutouts | Sheriff Blake | Chicago | 4
1928,National League,table_2,Strikeouts | Dazzy Vance | Brooklyn | 200
1928,National League,table_2,Winning Percentage | Larry Benton | New York | .735
1928,National League,table_2,Wins | Larry Benton | New York | 25
1928,National League,table_5,Complete Games | St. Louis | 83
1928,National League,table_5,ERA | Brooklyn | 3.25
1928,National League,table_5,"Fewest Hits Allowed | Brooklyn | 1,378"
1928,National League,table_5,Fewest Home Runs Allowed | Chicago | 56
1928,National League,table_5,Fewest Walks Allowed | St. Louis | 399
1928,National League,table_5,Saves | St. Louis | 21
1928,National League,table_5,Shutouts | Brooklyn | 16
1928,National League,table_5,Strikeouts | Brooklyn | 551
