year,league,category,text
1876,National League,table_2,Complete Games | Jim Devlin | Louisville | 66
1876,National League,table_2,ERA | George Bradley | St. Louis | 1.23
1876,National League,table_2,Games | Jim Devlin | Louisville | 68
1876,National League,table_2,Saves | Jack Manning | Boston | 5
1876,National League,table_2,Shutouts | George Bradley | St. Louis | 16
1876,National League,table_2,Strikeouts | Jim Devlin | Louisville | 122
1876,National League,table_2,Winning Percentage | Al Spalding | Chicago | .797
1876,National League,table_2,Wins | Al Spalding | Chicago | 47
1876,National League,table_5,Complete Games | Hartford | 69
1876,National League,table_5,ERA | St. Louis | 1.22
1876,National League,table_5,Fewest Hits Allowed | St. Louis | 472
1876,National League,table_5,Fewest Home Runs Allowed | Hartford | 2
1876,National League,table_5,Fewest Walks Allowed | New York | 24
1876,National League,table_5,Saves | Boston | 7
1876,National League,table_5,Shutouts | St. Louis | 16
1876,National League,table_5,Strikeouts | Louisville | 125
