year,league,category,text
1990,National League,table_2,Complete Games | Ramon Martinez | Los Angeles | 12
1990,National League,table_2,ERA | Danny Darwin | Houston | 2.21
1990,National League,table_2,Games | Juan Agosto | Houston | 82
1990,National League,table_2,Saves | John Franco | New York | 33
1990,National League,table_2,Shutouts | Bruce Hurst | San Diego | 4
1990,National League,table_2,Strikeouts | David Cone | New York | 233
1990,National League,table_2,Winning Percentage | Doug Drabek | Pittsburgh | .786
1990,National League,table_2,Wins | Doug Drabek | Pittsburgh | 22
1990,National League,table_5,Complete Games | Los Angeles | 29
1990,National League,table_5,ERA | Montreal | 3.37
1990,National League,table_5,"Fewest Hits Allowed | Cincinnati | 1,338"
1990,National League,table_5,Fewest Home Runs Allowed | St. Louis | 98
1990,National League,table_5,Fewest Walks Allowed | Pittsburgh | 413
1990,National League,table_5,Saves | Cincinnati | 50
1990,National League,table_5,Shutouts | New York | 14
1990,National League,table_5,"Strikeouts | New York | 1,217"
