category,text
table_2,Statistic | Name | Team | # | Top 25
table_2,Complete Games | Dallas Keuchel | Houston | 5 | Top 25
table_2,ERA | Felix Hernandez | Seattle | 2.14 | Top 25
table_2,Games | Bryan Shaw | Cleveland | 80 | Top 25
table_2,Saves | Fernando Rodney | Seattle | 48 | Top 25
table_2,Shutouts | Rick Porcello | Detroit | 3 | Top 25
table_2,Strikeouts | David Price | Tampa Bay / Detroit | 271 | Top 25
table_2,Winning Percentage | Max Scherzer | Detroit | .783 | Top 25
table_2,Wins | Corey Kluber | Texas | 18 | Top 25
table_2,Statistic | Name | Team | # | Top 25
