category,text
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_2,Complete Games | Ewell Blackwell | Cincinnati | 23 | Top 25
table_2,ERA | Warren Spahn | Boston | 2.33 | Top 25
table_2,Games | Ken Trinkle | New York | 62 | Top 25
table_2,Saves | Hugh Casey | Brooklyn | 18 | Top 25
table_2,Shutouts | Warren Spahn | Boston | 7 | Top 25
table_2,Strikeouts | Ewell Blackwell | Cincinnati | 193 | Top 25
table_2,Winning Percentage | Larry Jansen | New York | .808 | Top 25
table_2,Wins | Ewell Blackwell | Cincinnati | 22 | Top 25
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_5,Statistic | Team | #
table_5,Complete Games | Boston | 74
table_5,ERA | St. Louis | 3.53
table_5,"Fewest Hits Allowed | Brooklyn | 1,299"
table_5,Fewest Home Runs Allowed | Boston | 93
table_5,Fewest Walks Allowed | Boston | 453
table_5,Saves | Brooklyn | 34
table_5,Shutouts | Boston | 14
table_5,Strikeouts | St. Louis | 642
