year,league,category,text
1927,American League,table_2,Complete Games | Ted Lyons | Chicago | 30
1927,American League,table_2,ERA | Wilcy Moore | New York | 2.28
1927,American League,table_2,Games | Garland Braxton | Washington | 58
1927,American League,table_2,Saves | Garland Braxton | Washington | 13
1927,American League,table_2,Shutouts | Hod Lisenbee | Washington | 4
1927,American League,table_2,Strikeouts | Lefty Grove | Philadelphia | 174
1927,American League,table_2,Winning Percentage | Waite Hoyt | New York | .759
1927,American League,table_2,Wins | Waite Hoyt | New York | 22
1927,American League,table_5,Complete Games | Chicago | 85
1927,American League,table_5,ERA | New York | 3.20
1927,American League,table_5,"Fewest Hits Allowed | New York | 1,403"
1927,American League,table_5,Fewest Home Runs Allowed | Cleveland | 37
1927,American League,table_5,Fewest Walks Allowed | New York | 409
1927,American League,table_5,Saves | Philadelphia | 24
1927,American League,table_5,Shutouts | New York | 11
1927,American League,table_5,Strikeouts | Philadelphia | 553
