year,league,category,text
2012,American League,table_2,Complete Games | Justin Verlander | Detroit | 6
2012,American League,table_2,ERA | David Price | Tampa Bay | 2.56
2012,American League,table_2,Games | Boone Logan | New York | 80
2012,American League,table_2,Saves | Jim Johnson | Baltimore | 51
2012,American League,table_2,Shutouts | Felix Hernandez | Seattle | 5
2012,American League,table_2,Strikeouts | Justin Verlander | Detroit | 239
2012,American League,table_2,Winning Percentage | David Price | Tampa Bay | .800
2012,American League,table_2,Wins | David Price | Tampa Bay | 20
