year,league,category,text
1988,National League,table_2,Complete Games | Orel Hershiser | Los Angeles | 15
1988,National League,table_2,ERA | Joe Magrane | St. Louis | 2.18
1988,National League,table_2,Games | Rob Murphy | Cincinnati | 76
1988,National League,table_2,Saves | John Franco | Cincinnati | 39
1988,National League,table_2,Shutouts | Orel Hershiser | Los Angeles | 8
1988,National League,table_2,Strikeouts | Nolan Ryan | Houston | 228
1988,National League,table_2,Winning Percentage | David Cone | New York | .870
1988,National League,table_2,Wins | Orel Hershiser | Los Angeles | 23
1988,National League,table_5,Complete Games | Los Angeles | 32
1988,National League,table_5,ERA | New York | 2.91
1988,National League,table_5,"Fewest Hits Allowed | New York | 1,253"
1988,National League,table_5,Fewest Home Runs Allowed | New York | 78
1988,National League,table_5,Fewest Walks Allowed | New York | 404
1988,National League,table_5,Saves | Los Angeles | 49
1988,National League,table_5,Shutouts | Los Angeles | 24
1988,National League,table_5,"Strikeouts | New York | 1,100"
