category,text
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_2,Complete Games | Vic Willis | Boston | 45 | Top 25
table_2,ERA | Jack Taylor | Chicago | 1.33 | Top 25
table_2,Games | Vic Willis | Boston | 51 | Top 25
table_2,Saves | Vic Willis | Boston | 3 | Top 25
table_2,Shutouts | Jack Chesbro | Pittsburgh | 8 | Top 25
table_2,Strikeouts | Vic Willis | Boston | 225 | Top 25
table_2,Winning Percentage | Jack Chesbro | Pittsburgh | .824 | Top 25
table_2,Wins | Jack Chesbro | Pittsburgh | 28 | Top 25
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_5,Statistic | Team | #
table_5,Complete Games | Chicago | 132
table_5,ERA | Chicago | 2.21
table_5,"Fewest Hits Allowed | Brooklyn | 1,113"
table_5,Fewest Home Runs Allowed | Pittsburgh | 4
table_5,Fewest Walks Allowed | Pittsburgh | 250
table_5,Saves | Boston | 4
table_5,Shutouts | Pittsburgh | 21
table_5,Strikeouts | Pittsburgh | 564
table_5,Statistic | Team | #
