category,text
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_2,Complete Games | Pud Galvin | Buffalo | 72 | Top 25
table_2,ERA | Jim McCormick | Cleveland | 1.84 | Top 25
table_2,Games | Pud Galvin | Buffalo | 76 | Top 25
table_2,Saves | Jim Whitney | Boston | 2 | Top 25
table_2,Shutouts | Pud Galvin | Buffalo | 5 | Top 25
table_2,Strikeouts | Jim Whitney | Boston | 345 | Top 25
table_2,Winning Percentage | Jim McCormick | Cleveland | .700 | Top 25
table_2,Wins | Old Hoss Radbourn | Providence | 48 | Top 25
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_5,Statistic | Team | #
table_5,Complete Games | Cleveland | 92
table_5,ERA | Cleveland | 2.22
table_5,Fewest Hits Allowed | Cleveland | 818
table_5,Fewest Home Runs Allowed | Cleveland | 7
table_5,Fewest Walks Allowed | Boston | 90
table_5,Saves | Boston | 3
table_5,Shutouts | Boston | 6
table_5,Strikeouts | Boston | 538
table_5,Statistic | Team | #
