year,league,category,text
1946,National League,table_2,Complete Games | Johnny Sain | Boston | 24
1946,National League,table_2,ERA | Howie Pollet | St. Louis | 2.10
1946,National League,table_2,Games | Ken Trinkle | New York | 48
1946,National League,table_2,Saves | Ken Raffensberger | Philadelphia | 6
1946,National League,table_2,Shutouts | Ewell Blackwell | Cincinnati | 5
1946,National League,table_2,Strikeouts | Johnny Schmitz | Chicago | 135
1946,National League,table_2,Winning Percentage | Murry Dickson | St. Louis | .714
1946,National League,table_2,Wins | Howie Pollet | St. Louis | 21
1946,National League,table_5,Complete Games | St. Louis | 75
1946,National League,table_5,ERA | St. Louis | 3.01
1946,National League,table_5,"Fewest Hits Allowed | Brooklyn | 1,280"
1946,National League,table_5,Fewest Home Runs Allowed | Pittsburgh | 50
1946,National League,table_5,Fewest Walks Allowed | Cincinnati | 467
1946,National League,table_5,Saves | Brooklyn | 28
1946,National League,table_5,Shutouts | St. Louis | 18
1946,National League,table_5,Strikeouts | Brooklyn | 467
