category,text
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_2,Complete Games | Bill Hutchison | Chicago | 56 | Top 25
table_2,ERA | John Ewing | New York | 2.27 | Top 25
table_2,Games | Bill Hutchison | Chicago | 66 | Top 25
table_2,Saves | John Clarkson | Boston | 3 | Top 25
table_2,Shutouts | Amos Rusie | New York | 6 | Top 25
table_2,Strikeouts | Amos Rusie | New York | 337 | Top 25
table_2,Winning Percentage | John Ewing | New York | .724 | Top 25
table_2,Wins | Bill Hutchison | Chicago | 44 | Top 25
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_5,Statistic | Team | #
table_5,Complete Games | Boston | 126
table_5,ERA | Boston | 2.76
table_5,"Fewest Hits Allowed | New York | 1,098"
table_5,Fewest Home Runs Allowed | Cleveland | 24
table_5,Fewest Walks Allowed | Boston | 364
table_5,Saves | Boston | 6
table_5,Shutouts | New York | 11
table_5,Strikeouts | New York | 651
table_5,Statistic | Team | #
