year,league,category,text
1909,American League,table_2,Complete Games | Frank Smith | Chicago | 37
1909,American League,table_2,ERA | Harry Krause | Philadelphia | 1.39
1909,American League,table_2,Games | Frank Smith | Chicago | 51
1909,American League,table_2,Saves | Frank Arellanes | Boston | 8
1909,American League,table_2,Shutouts | Ed Walsh | Chicago | 8
1909,American League,table_2,Strikeouts | Frank Smith | Chicago | 177
1909,American League,table_2,Winning Percentage | George Mullin | Detroit | .784
1909,American League,table_2,Wins | George Mullin | Detroit | 29
1909,American League,table_5,Complete Games | Detroit | 117
1909,American League,table_5,ERA | Philadelphia | 1.93
1909,American League,table_5,"Fewest Hits Allowed | Philadelphia | 1,069"
1909,American League,table_5,Fewest Home Runs Allowed | Chicago | 8
1909,American League,table_5,Fewest Walks Allowed | Chicago | 340
1909,American League,table_5,Saves | Boston | 15
1909,American League,table_5,Shutouts | Philadelphia | 27
1909,American League,table_5,Strikeouts | Philadelphia | 728
