year,league,category,text
2012,National League,table_2,Complete Games | R.A. Dickey | New York | 5
2012,National League,table_2,ERA | Clayton Kershaw | Los Angeles | 2.53
2012,National League,table_2,Games | Matt Belisle | Colorado | 80
2012,National League,table_2,Saves | Craig Kimbrel | Atlanta | 42
2012,National League,table_2,Shutouts | R.A. Dickey | New York | 3
2012,National League,table_2,Strikeouts | R.A. Dickey | New York | 230
2012,National League,table_2,Winning Percentage | Kyle Lohse | St. Louis | .842
2012,National League,table_2,Wins | Gio Gonzalez | Washington | 21
