category,text
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_2,Complete Games | Rip Sewell | Pittsburgh | 25 | Top 25
table_2,ERA | Max Lanier | St. Louis | 1.94 | Top 25
table_2,Games | Ace Adams | New York | 70 | Top 25
table_2,Saves | Les Webber | Brooklyn | 10 | Top 25
table_2,Shutouts | Hi Bithorn | Chicago | 7 | Top 25
table_2,Strikeouts | Johnny Vander Meer | Cincinnati | 174 | Top 25
table_2,Winning Percentage | Mort Cooper | St. Louis | .724 | Top 25
table_2,Wins | Mort Cooper | St. Louis | 21 | Top 25
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_5,Statistic | Team | #
table_5,Complete Games | St. Louis | 94
table_5,ERA | St. Louis | 2.57
table_5,"Fewest Hits Allowed | St. Louis | 1,246"
table_5,Fewest Home Runs Allowed | St. Louis | 33
table_5,Fewest Walks Allowed | Chicago | 394
table_5,Saves | Brooklyn | 22
table_5,Shutouts | St. Louis | 21
table_5,Strikeouts | St. Louis | 639
