year,league,category,text
1884,National League,table_2,Complete Games | Old Hoss Radbourn | Providence | 73
1884,National League,table_2,ERA | Old Hoss Radbourn | Providence | 1.38
1884,National League,table_2,Games | Old Hoss Radbourn | Providence | 75
1884,National League,table_2,Saves | John Morrill | Boston | 2
1884,National League,table_2,Shutouts | Pud Galvin | Buffalo | 12
1884,National League,table_2,Strikeouts | Old Hoss Radbourn | Providence | 441
1884,National League,table_2,Winning Percentage | Old Hoss Radbourn | Providence | .831
1884,National League,table_2,Wins | Old Hoss Radbourn | Providence | 59
1884,National League,table_5,Complete Games | New York | 111
1884,National League,table_5,ERA | Providence | 1.61
1884,National League,table_5,Fewest Hits Allowed | Providence | 825
1884,National League,table_5,Fewest Home Runs Allowed | Providence | 26
1884,National League,table_5,Fewest Walks Allowed | Boston | 135
1884,National League,table_5,Saves | Boston | 2
1884,National League,table_5,Shutouts | Providence | 16
1884,National League,table_5,Strikeouts | Boston | 742
