category,text
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_2,Complete Games | Dizzy Trout | Detroit | 33 | Top 25
table_2,ERA | Dizzy Trout | Detroit | 2.12 | Top 25
table_2,Games | Joe Heving | Cleveland | 63 | Top 25
table_2,Saves | Joe Berry | Philadelphia | 12 | Top 25
table_2,Shutouts | Dizzy Trout | Detroit | 7 | Top 25
table_2,Strikeouts | Hal Newhouser | Detroit | 187 | Top 25
table_2,Winning Percentage | Tex Hughson | Boston | .783 | Top 25
table_2,Wins | Hal Newhouser | Detroit | 29 | Top 25
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_5,Statistic | Team | #
table_5,Complete Games | Detroit | 87
table_5,ERA | Detroit | 3.09
table_5,"Fewest Hits Allowed | Philadelphia | 1,345"
table_5,Fewest Home Runs Allowed | Detroit | 39
table_5,Fewest Walks Allowed | Philadelphia | 390
table_5,Saves | Cleveland | 18
table_5,Shutouts | Detroit | 20
table_5,Strikeouts | St. Louis | 581
table_5,Statistic | Team | #
