year,league,category,text
1896,National League,table_2,Complete Games | Frank Killen | Pittsburgh | 44
1896,National League,table_2,ERA | Billy Rhines | Cincinnati | 2.45
1896,National League,table_2,Games | Frank Killen | Pittsburgh | 52
1896,National League,table_2,Saves | Cy Young | Cleveland | 3
1896,National League,table_2,Shutouts | Frank Killen | Pittsburgh | 5
1896,National League,table_2,Strikeouts | Cy Young | Cleveland | 140
1896,National League,table_2,Winning Percentage | Bill Hoffer | Baltimore | .781
1896,National League,table_2,Wins | Frank Killen | Pittsburgh | 30
1896,National League,table_5,Complete Games | Chicago | 118
1896,National League,table_5,ERA | Cleveland | 3.46
1896,National League,table_5,"Fewest Hits Allowed | Cincinnati | 1,240"
1896,National League,table_5,Fewest Home Runs Allowed | Pittsburgh | 18
1896,National League,table_5,Fewest Walks Allowed | Cleveland | 280
1896,National League,table_5,Saves | Cleveland | 5
1896,National League,table_5,Shutouts | Cincinnati | 11
1896,National League,table_5,Strikeouts | Pittsburgh | 362
