year,league,category,text
1904,American League,table_2,Complete Games | Jack Chesbro | New York | 48
1904,American League,table_2,ERA | Addie Joss | Cleveland | 1.59
1904,American League,table_2,Games | Jack Chesbro | New York | 55
1904,American League,table_2,Saves | Case Patten | Washington | 3
1904,American League,table_2,Shutouts | Cy Young | Boston | 10
1904,American League,table_2,Strikeouts | Rube Waddell | Philadelphia | 349
1904,American League,table_2,Winning Percentage | Jack Chesbro | New York | .774
1904,American League,table_2,Wins | Jack Chesbro | New York | 41
1904,American League,table_5,Complete Games | Boston | 148
1904,American League,table_5,ERA | Boston | 2.12
1904,American League,table_5,"Fewest Hits Allowed | Philadelphia | 1,149"
1904,American League,table_5,Fewest Home Runs Allowed | Cleveland | 10
1904,American League,table_5,Fewest Walks Allowed | Boston | 233
1904,American League,table_5,Saves | Washington | 4
1904,American League,table_5,Shutouts | Chicago | 26
1904,American League,table_5,Strikeouts | Philadelphia | 887
