year,league,category,text
1918,National League,table_2,Complete Games | Art Nehf | Boston | 28
1918,National League,table_2,ERA | Hippo Vaughn | Chicago | 1.74
1918,National League,table_2,Games | Burleigh Grimes | Brooklyn | 40
1918,National League,table_2,Saves | Fred Anderson | New York | 3
1918,National League,table_2,Shutouts | Hippo Vaughn | Chicago | 8
1918,National League,table_2,Strikeouts | Hippo Vaughn | Chicago | 148
1918,National League,table_2,Winning Percentage | Claude Hendrix | Chicago | .741
1918,National League,table_2,Wins | Hippo Vaughn | Chicago | 22
1918,National League,table_5,Complete Games | Boston | 96
1918,National League,table_5,ERA | Chicago | 2.18
1918,National League,table_5,"Fewest Hits Allowed | New York | 1,002"
1918,National League,table_5,Fewest Home Runs Allowed | Chicago | 13
1918,National League,table_5,Fewest Walks Allowed | New York | 228
1918,National League,table_5,Saves | New York | 11
1918,National League,table_5,Shutouts | Chicago | 23
1918,National League,table_5,Strikeouts | Chicago | 472
